,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2926,0.041,0.02,0.098,0.216,0.625,3.0,2.0,0.115,0.307,0.41200000000000003,0.166,110593,0.06,0.7285253143310547,0.126,0.003987594151528578,4.5210818044541695e-05
2927,0.067,0.047,0.042,0.271,0.573,3.0,2.0,0.182,0.29,0.336,0.192,43429,0.055999999999999994,0.8018659210205078,0.109,0.018167583872527572,0.00018420870846669275
2928,0.082,0.066,0.082,0.204,0.565,9.0,12.0,0.139,0.345,0.33399999999999996,0.182,7627,0.113,0.6032869720458984,0.18,0.0017044709584371313,0.0
2929,0.106,0.013,0.059,0.069,0.753,2.0,2.0,0.252,0.26,0.315,0.17300000000000001,95222,0.064,0.8080814361572266,0.135,0.03589506626619899,0.0005040851903971771
2930,0.031,0.029,0.085,0.292,0.563,8.0,7.0,0.033,0.318,0.397,0.252,2225,0.054000000000000006,0.6934310913085937,0.129,0.0008988764044943821,0.0
2931,0.032,0.052,0.108,0.146,0.661,5.0,8.0,0.239,0.266,0.319,0.17600000000000002,97733,0.069,0.7264407348632812,0.139,0.013107138837444875,0.00012278350199011593
2932,0.03,0.009,0.087,0.213,0.662,4.0,5.0,0.111,0.32899999999999996,0.402,0.158,75061,0.071,0.7543280029296875,0.131,0.001278959779379438,1.3322497701869147e-05
2933,0.015,0.009,0.066,0.15,0.759,4.0,3.0,0.047,0.22399999999999998,0.39899999999999997,0.33,85141,0.05,0.9173678588867188,0.073,0.0028188534313667917,0.00017617833946042448
2934,0.011,0.0,0.064,0.171,0.754,6.0,6.0,0.053,0.209,0.32,0.418,32221,0.055999999999999994,0.7697078704833984,0.126,0.001582818658638776,0.0
2935,0.016,0.02,0.05,0.191,0.724,1.0,1.0,0.07,0.152,0.263,0.514,2252782,0.027999999999999997,1.3007855224609375,0.077,0.006843982240625147,0.0002991856291465397
2936,0.024,0.003,0.051,0.136,0.786,2.0,2.0,0.055999999999999994,0.226,0.396,0.322,271473,0.046,1.0075501251220702,0.075,0.002335407204399701,1.8418037889587547e-05
2937,0.032,0.084,0.033,0.179,0.672,4.0,3.0,0.079,0.235,0.33799999999999997,0.348,47935,0.055,0.7521163177490234,0.14,0.007238969437780327,0.0003546469177010535
2938,0.038,0.029,0.113,0.288,0.532,6.0,4.0,0.122,0.255,0.335,0.289,22425,0.057999999999999996,0.7698477172851562,0.135,0.004593088071348941,0.00013377926421404682
2939,0.033,0.112,0.128,0.111,0.616,4.0,3.0,0.122,0.295,0.415,0.168,80707,0.062,0.7438925170898437,0.122,0.0021807278179092273,3.717149689618001e-05
2940,0.017,0.086,0.023,0.108,0.765,8.0,7.0,0.086,0.287,0.391,0.23600000000000002,10939,0.05,0.7734321594238281,0.091,0.001188408446841576,0.0
2941,0.011,0.024,0.091,0.152,0.721,4.0,3.0,0.126,0.313,0.382,0.18,66768,0.063,0.8095304870605469,0.128,0.0022316079559070215,1.4977234603402828e-05
2942,0.042,0.066,0.075,0.199,0.617,6.0,6.0,0.165,0.301,0.344,0.19,42243,0.068,0.5691460800170899,0.16399999999999998,0.01739933243377601,0.00011836280567194565
